Value Added Agriculture, by country, 1870-1938 (indices, 1913=100);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,9;37,3;38,2;37,5;39,2;36,5;41,5;43,8;42,8;43,3;46,6;43,2;47,8;51,2;53,2;51,3;50,8;49,3;53,8;51,2;50,8;50,1;51,6;52,3;59,0;58,7;56,3;56,3;61,5;57,3;57,2;58,1;59,6;62,8;63,9;67,0;67,0;67,8;70,2;66,0;68,6;64,2;69,8;75,9;74,4;76,4;80,7;80,0;82,4;85,7;88,7;83,2;85,0;89,3;92,8;91,2;89,9;89,9;94,8;92,2;93,7;92,4;91,8;100;;;;;;;62,7;65,0;65,0;66,9;67,6;72,5;69,9;84,3;90,7;86,7;94,8;99,0;90,6;106,7;98,2;94,2;108,3;95,8;102,8
Greece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,6;17,5;18,4;21,2;18,4;19,3;21,1;18,4;21,1;25,7;25,7;26,6;24,7;26,6;26,5;26,5;28,6;27,7;27,7;31,1;31,1;28,5;30,2;33,6;31,0;37,0;37,0;36,1;37,0;37,8;42,1;42,9;42,1;36,8;39,5;39,5;46,3;46,3;44,2;53,0;53,7;49,6;48,2;44,1;45,4;52,9;51,5;50,8;58,2;44,0;58,1;53,4;50,7;52,0;66,1;62,7;64,7;69,4;67,3;70,0;68,6;73,3;67,2;96,7;89,3;100;75,4;71,2;75,0;72,8;76,7;67,1;60,2;50,6;57,4;59,0;71,8;71,1;76,0;75,3;81,4;76,8;80,4;77,4;84,9;95,5;100,4;109,1;102,2;125,8;118,3
India;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68,4;69,4;70,4;71,5;72,6;72,7;72,7;72,8;72,9;72,9;73,0;73,0;73,1;73,2;78,4;78,3;78,2;82,4;79,1;84,9;86,6;83,6;89,9;77,3;86,8;89,7;91,3;87,6;77,5;99,4;99,5;87,8;91,5;88,8;98,5;98,6;96,3;94,6;99,4;90,1;93,9;109,2;109,1;105,2;104,5;100;105,6;108,2;113,0;111,5;89,5;111,2;94,6;107,5;110,6;105,3;107,6;105,4;107,1;104,5;107,7;111,0;111,5;110,7;110,6;110,2;110,5;109,6;116,8;113,4;105,9
Indonesia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45,3;46,2;47,1;47,9;48,5;48,9;49,2;49,8;50,2;50,7;51,6;58,2;54,1;52,4;59,6;60,9;60,3;59,7;58,8;58,5;56,5;57,8;63,2;65,3;65,2;65,8;65,1;67,9;66,1;72,3;74,1;73,4;71,3;76,1;77,5;78,8;82,9;84,6;82,6;87,8;93,7;98,5;98,0;100;101,3;103,5;103,4;106,8;112,4;116,5;109,4;105,9;115,2;116,5;124,6;126,8;132,6;142,1;145,5;140,8;147,5;145,7;147,0;142,9;135,9;141,4;149,6;161,5;161,3
Italy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55,2;56,8;58,7;57,3;61,3;63,0;56,7;57,6;59,4;63,1;61,0;59,4;58,5;63,9;62,7;59,7;60,6;64,8;64,8;66,2;67,7;69,0;69,6;65,6;67,6;71,2;72,1;70,8;67,7;70,5;74,3;74,1;76,5;76,5;77,9;78,7;78,6;78,5;78,3;80,4;81,6;82,6;84,1;86,7;87,9;89,5;92,5;92,0;91,7;89,4;90,6;93,7;100;91,6;83,2;89,6;89,0;90,9;87,1;93,2;91,7;96,8;106,0;100,5;107,9;108,4;98,0;106,4;110,4;97,3;101,0;110,4;99,3;93,9;102,7;92,2;104,7;105,8
Japan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48,7;49,0;49,3;49,6;49,8;52,0;50,5;52,2;49,3;56,1;56,5;54,8;57,5;57,8;54,8;62,9;66,9;68,5;64,6;58,0;73,3;66,7;70,3;65,1;74,7;74,0;65,5;63,6;84,9;73,5;77,6;86,3;70,8;85,4;92,0;72,7;87,6;93,6;97,7;96,1;88,0;98,5;99,7;100;105,4;107,7;115,1;109,1;109,2;118,8;114,6;112,9;116,6;107,8;112,4;120,5;111,6;122,6;119,2;120,0;128,3;112,6;122,3;142,7;113,3;120,4;134,1;135,0;127,6
Netherlands;;;;;;;;42,5;36,4;44,5;;;;;;48,9;46,2;42,6;45,0;46,9;51,8;50,2;50,1;51,3;54,7;54,4;52,1;53,3;53,0;52,7;45,4;51,5;54,4;54,7;54,9;58,7;61,8;62,8;61,5;62,6;64,1;60,6;61,7;63,4;62,8;56,7;56,0;60,8;62,5;66,5;68,4;69,7;68,3;65,0;69,1;66,9;74,7;72,3;69,3;69,7;71,6;62,6;76,6;79,2;82,2;80,3;75,6;71,8;76,0;83,5;81,0;79,2;82,3;78,7;81,4;84,3;82,2;79,9;78,5;70,0;81,2;77,1;81,3;78,8;84,3;84,2;86,7;88,7;84,4;90,1;81,6;77,1;82,9;82,8;81,3;86,4;91,4;88,5;91,9;91,2;93,6;98,0;96,9;90,7;94,1;96,9;95,8;93,0;91,1;97,4;102,7;105,8;101,9;100;109,2;104,0;106,0;113,6;95,8;87,3;105,1;117,0;127,0;120,5;125,7;130,8;142,0;144,2;153,1;144,4;158,3;158,0;158,9;152,2;171,4;166,5;163,4;156,5;171,9
Portugal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102,1;86,2;84,0;92,5;90,2;88,4;80,1;94,7;69,2;80,4;74,7;71,2;73,0;74,1;76,8;69,0;72,5;81,4;80,4;83,6;83,3;83,9;85,9;79,3;78,5;79,8;84,0;86,1;86,1;84,2;82,3;83,8;89,0;89,6;89,9;89,4;103,4;102,0;107,0;120,2;119,2;119,1;116,3;117,1;117,9;104,3;108,6;117,2;121,1;121,6;130,8;127,3;125,2;139,0;145,4;129,1;133,7;126,2;124,9;116,8;137,9;131,0;120,1;130,8;105,8;100;105,0;92,5;90,5;88,7;89,1;88,6;88,8;91,1;112,6;114,0;102,1;128,6;108,7;150,1;108,5;141,2;146,8;162,4;176,2;177,9;193,8;167,4;132,5;180,4;183,7
Russia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,9;34,6;34,5;36,5;40,9;35,1;35,8;41,0;41,6;39,5;36,6;40,6;41,6;42,0;42,9;38,5;37,5;46,5;48,7;39,5;43,9;34,8;43,7;59,1;60,6;60,2;64,0;54,1;64,2;59,9;62,1;55,0;74,5;72,1;74,5;69,0;66,7;73,5;73,8;79,8;84,0;72,6;91,3;100;;;;;;;52,9;47,4;59,1;67,7;70,8;88,0;94,6;99,8;101,3;108,8;105,4;97,2;84,7;90,3;91,4;101,3;88,3;122,6;105,6
Spain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57,6;58,9;60,4;62,4;64,6;70,7;63,3;57,4;58,0;61,7;64,5;64,5;65,7;67,2;67,5;63,2;72,0;69,7;56,6;60,0;62,6;67,6;84,2;89,8;75,2;78,0;82,8;95,7;88,8;77,6;87,1;85,0;84,0;84,9;87,1;80,6;79,1;74,9;81,8;77,8;75,3;76,5;88,6;79,1;83,3;80,7;65,2;78,9;85,0;80,3;82,9;98,7;89,6;88,6;85,4;85,5;95,5;95,8;99,0;107,7;91,4;106,0;88,6;100;94,3;104,1;110,5;110,7;109,6;110,9;116,0;113,8;117,7;110,4;110,5;122,3;111,3;129,9;111,6;134,4;115,7;124,0;137,7;122,9;137,5;135,8;90,8;96,8;91,5
Sweden;25,7;21,0;22,7;23,0;22,7;25,6;25,1;24,1;24,1;22,4;26,1;27,7;25,9;22,5;25,3;28,1;28,6;27,8;25,0;25,0;27,6;29,9;32,4;33,3;34,2;35,0;34,7;30,4;34,8;36,4;35,1;33,8;32,8;36,3;38,1;37,9;38,9;38,4;34,8;36,1;38,5;38,1;35,4;37,4;41,1;43,0;38,4;39,5;41,1;44,7;44,9;41,2;39,4;40,1;41,6;45,0;41,8;44,4;50,8;54,5;55,8;53,8;47,4;55,0;55,1;58,5;54,1;58,5;42,9;51,6;66,8;69,5;66,8;64,4;66,3;61,8;69,6;63,9;62,4;75,3;69,5;67,2;62,3;72,7;67,1;71,4;69,4;68,1;70,5;64,8;66,0;76,4;73,5;78,4;75,7;78,8;78,3;79,4;81,6;81,2;74,3;84,2;76,8;78,5;80,4;70,4;79,4;93,1;92,9;100,9;97,8;97,1;95,5;100;101,3;94,8;97,3;94,6;85,2;86,3;95,0;97,1;106,9;100,1;104,1;92,2;113,4;108,4;103,0;112,3;117,3;133,5;124,7;142,3;127,8;126,6;124,3;121,1;121,6
Switzerland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71,0;73,2;62,1;67,5;83,1;84,8;88,1;81,9;86,4;84,3;84,6;88,4;78,9;84,7;95,1;103,5;95,1;95,4;96,0;86,4;96,7;76,3;99,0;94,4;83,3;87,0;89,9;93,5;95,6;91,1;127,8;93,3;93,6;84,4;99,6;89,5;107,1;92,6;105,1;100,7;101,0;97,8;102,9;100;112,7;115,8;106,1;113,5;107,9;106,8;98,6;96,0;125,0;112,9;107,9;113,4;110,4;113,4;114,6;123,4;107,9;123,4;121,3;122,7;136,0;135,7;116,1;128,7;128,7
UK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99,3;99,3;100,0;100,0;100,7;100,7;101,5;101,5;102,1;102,1;102,9;103,6;100,7;107,8;103,6;107,2;104,3;99,3;102,1;110,0;110,7;104,3;95,0;102,9;82,8;100,0;100,0;95,0;101,5;103,6;100,7;104,3;97,9;100,0;102,1;103,6;106,4;102,9;98,7;100,7;99,3;99,3;96,4;100,7;97,9;95,8;97,2;100,7;92,2;97,2;98,7;92,2;100,0;102,9;105,0;103,6;101,5;100,0;100;;;;;;;93,0;93,6;95,5;95,9;93,0;98,8;101,8;103,6;108,2;109,2;110,2;101,9;106,7;116,1;123,1;127,3;128,4;124,0;123,5
USA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,0;38,8;39,6;41,5;42,2;42,2;44,3;47,8;52,4;55,2;56,2;60,3;55,9;60,5;61,8;65,4;65,3;65,4;64,5;66,7;71,3;70,1;73,0;69,1;67,1;69,5;74,1;79,8;86,0;89,9;89,8;90,6;89,6;88,3;90,6;92,5;93,0;97,7;92,4;93,6;90,9;92,6;99,4;100,2;100;96,8;105,7;104,6;99,4;104,5;108,2;91,8;101,3;99,6;102,7;106,7;107,1;110,2;115,4;109,0;113,7;108,6;115,8;114,6;119,2;112,3;101,1;111,3;106,9;118,7
Uruguay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,1;30,5;37,9;39,5;35,4;28,2;33,9;33,5;39,6;33,1;39,7;35,1;40,4;50,2;47,9;49,6;52,6;45,7;59,1;58,0;49,1;53,9;54,3;60,3;80,7;78,1;73,0;73,0;68,4;62,1;62,8;67,7;81,0;82,2;85,8;70,4;81,4;88,9;97,7;99,5;95,8;87,4;118,1;100;85,0;79,0;88,7;94,8;129,2;119,6;98,2;137,4;139,6;123,2;154,6;146,7;153,8;172,6;204,9;166,5;229,1;185,6;233,6;134,2;246,7;192,5;231,2;428,6;452,2
